codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
3302.0,INSTITUTO TECNOLOGICO METROPOLITANO,2013,14.43,TDA,IES Padre Nivel Formacin,TyT,17.88,22.68,17.98,18.4867,1.2462,18.960176
3302.0,INSTITUTO TECNOLOGICO METROPOLITANO,2013,10.79,TDA,IES Padre Nivel Formacin,Universitario,13.73,15.85,12.41,17.1767,3.1544,12.402585
3702.0,FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-,2013,11.1,TDA,IES Padre Nivel Formacin,TyT,14.79,17.7,21.47,16.07,3.1795,16.04188
3703.0,FUNDACION ESCUELA COLOMBIANA DE MERCADOTECNIA -ESCOLME-,2013,20.75,TDA,IES Padre Nivel Formacin,TyT,14.23,12.12,13.61,16.2367,3.0038,14.011557
3705.0,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,2013,16.85,TDA,IES Padre Nivel Formacin,TyT,17.83,10.65,11.01,15.6167,1.9371,15.587095
3705.0,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,2013,15.91,TDA,IES Padre Nivel Formacin,Universitario,19.81,13.3,11.46,17.29,2.8289,15.659921
3706.0,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",2013,20.61,TDA,IES Padre Nivel Formacin,TyT,20.54,15.98,16.04,19.3933,1.4022,18.715052
3710.0,FUNDACION UNIVERSITARIA ANTONIO DE AREVALO - UNITECNAR,2013,17.24,TDA,IES Padre Nivel Formacin,TyT,14.35,19.78,19.1,18.2333,3.3828,16.681486
3712.0,FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-,2013,20.92,TDA,IES Padre Nivel Formacin,TyT,18.87,17.1,25.33,17.92,3.2025,18.491291
3713.0,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU,2013,19.25,TDA,IES Padre Nivel Formacin,TyT,13.63,9.12,12.87,15.6167,2.8404,12.576948
3713.0,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU,2013,21.5,TDA,IES Padre Nivel Formacin,Universitario,16.26,19.09,13.93,16.2533,2.62,14.497146
2903.0,ESCUELA DE COMUNICACIONES,2013,10.53,TDA,IES Padre Nivel Formacin,Universitario,12.99,0.0,28.0,14.2933,1.733,12.298422
